subject,predicate,object,evidence_type
Trapezius,attaches_to,External Occipital Protuberance,anatomy_textbook
Trapezius,attaches_to,Ligamentum Nuchae,anatomy_textbook
Trapezius,attaches_to,C7,anatomy_textbook
Trapezius,attaches_to,T1,anatomy_textbook
Trapezius,attaches_to,T2,anatomy_textbook
Trapezius,attaches_to,T3,anatomy_textbook
Trapezius,attaches_to,T4,anatomy_textbook
Trapezius,attaches_to,T5,anatomy_textbook
Trapezius,attaches_to,T6,anatomy_textbook
Trapezius,attaches_to,T7,anatomy_textbook
Trapezius,attaches_to,T8,anatomy_textbook
Trapezius,attaches_to,T9,anatomy_textbook
Trapezius,attaches_to,T10,anatomy_textbook
Trapezius,attaches_to,T11,anatomy_textbook
Trapezius,attaches_to,T12,anatomy_textbook
Trapezius,attaches_to,Clavicle,anatomy_textbook
Trapezius,attaches_to,Acromion,anatomy_textbook
Trapezius,attaches_to,Scapula,anatomy_textbook
Trapezius,innervated_by,Accessory Nerve (XI),anatomy_textbook
Trapezius,has_action,scapular_elevation,anatomy_textbook
Trapezius,has_action,scapular_retraction,anatomy_textbook
Trapezius,synergist_of,Levator Scapulae,anatomy_textbook
Trapezius,synergist_of,Rhomboid Major,anatomy_textbook
Trapezius,synergist_of,Rhomboid Minor,anatomy_textbook
Latissimus Dorsi,attaches_to,T7,anatomy_textbook
Latissimus Dorsi,attaches_to,T8,anatomy_textbook
Latissimus Dorsi,attaches_to,T9,anatomy_textbook
Latissimus Dorsi,attaches_to,T10,anatomy_textbook
Latissimus Dorsi,attaches_to,T11,anatomy_textbook
Latissimus Dorsi,attaches_to,T12,anatomy_textbook
Latissimus Dorsi,attaches_to,L1,anatomy_textbook
Latissimus Dorsi,attaches_to,L2,anatomy_textbook
Latissimus Dorsi,attaches_to,L3,anatomy_textbook
Latissimus Dorsi,attaches_to,L4,anatomy_textbook
Latissimus Dorsi,attaches_to,L5,anatomy_textbook
Latissimus Dorsi,attaches_to,Iliac Crest,anatomy_textbook
Latissimus Dorsi,attaches_to,Sacrum,anatomy_textbook
Latissimus Dorsi,attaches_to,Humerus,anatomy_textbook
Latissimus Dorsi,innervated_by,Thoracodorsal Nerve,anatomy_textbook
Latissimus Dorsi,has_action,shoulder_extension,anatomy_textbook
Latissimus Dorsi,has_action,shoulder_adduction,anatomy_textbook
Latissimus Dorsi,synergist_of,Teres Major,anatomy_textbook
Latissimus Dorsi,antagonist_of,Deltoid,anatomy_textbook
Serratus Posterior Superior,attaches_to,Ligamentum Nuchae,anatomy_textbook
Serratus Posterior Superior,attaches_to,C7,anatomy_textbook
Serratus Posterior Superior,attaches_to,T1,anatomy_textbook
Serratus Posterior Superior,attaches_to,T2,anatomy_textbook
Serratus Posterior Superior,attaches_to,T3,anatomy_textbook
Serratus Posterior Superior,attaches_to,Ribs 2,anatomy_textbook
Serratus Posterior Superior,attaches_to,Ribs 3,anatomy_textbook
Serratus Posterior Superior,attaches_to,Ribs 4,anatomy_textbook
Serratus Posterior Superior,attaches_to,Ribs 5,anatomy_textbook
Serratus Posterior Superior,innervated_by,Intercostal Nerves,anatomy_textbook
Serratus Posterior Superior,has_action,rib_elevation,anatomy_textbook
Serratus Posterior Inferior,attaches_to,T11,anatomy_textbook
Serratus Posterior Inferior,attaches_to,T12,anatomy_textbook
Serratus Posterior Inferior,attaches_to,L1,anatomy_textbook
Serratus Posterior Inferior,attaches_to,L2,anatomy_textbook
Serratus Posterior Inferior,attaches_to,Ribs 9,anatomy_textbook
Serratus Posterior Inferior,attaches_to,Ribs 10,anatomy_textbook
Serratus Posterior Inferior,attaches_to,Ribs 11,anatomy_textbook
Serratus Posterior Inferior,attaches_to,Ribs 12,anatomy_textbook
Serratus Posterior Inferior,innervated_by,Intercostal Nerves,anatomy_textbook
Serratus Posterior Inferior,has_action,rib_depression,anatomy_textbook
Levator Scapulae,attaches_to,C1 (Atlas),anatomy_textbook
Levator Scapulae,attaches_to,C2 (Axis),anatomy_textbook
Levator Scapulae,attaches_to,C3,anatomy_textbook
Levator Scapulae,attaches_to,C4,anatomy_textbook
Levator Scapulae,attaches_to,Scapula,anatomy_textbook
Levator Scapulae,innervated_by,Dorsal Scapular Nerve,anatomy_textbook
Levator Scapulae,has_action,scapular_elevation,anatomy_textbook
Levator Scapulae,synergist_of,Trapezius,anatomy_textbook
Rhomboid Minor,attaches_to,C7,anatomy_textbook
Rhomboid Minor,attaches_to,T1,anatomy_textbook
Rhomboid Minor,attaches_to,Ligamentum Nuchae,anatomy_textbook
Rhomboid Minor,attaches_to,Scapula,anatomy_textbook
