metric_or_instrument_id,icf_code,icf_title,mapping_source
gait_speed,d450,"Walking",ICF linking rules (Cieza 2005)
10mwt,d450,"Walking",ICF linking rules (Cieza 2005)
6mwt,b455,"Exercise tolerance functions",ICF linking rules (Cieza 2005)
6mwt,d450,"Walking",ICF linking rules (Cieza 2005)
tug,d450,"Walking",ICF linking rules (Cieza 2005)
tug,d410,"Changing basic body position",ICF linking rules (Cieza 2005)
fma_ue,b730,"Muscle power functions",ICF linking rules (Cieza 2005)
fma_ue,b760,"Control of voluntary movement functions",ICF linking rules (Cieza 2005)
fma_le,b730,"Muscle power functions",ICF linking rules (Cieza 2005)
fma_le,b770,"Gait pattern functions",ICF linking rules (Cieza 2005)
berg,b710,"Mobility of joint functions",ICF linking rules (Cieza 2005)
berg,b755,"Involuntary movement reaction functions",ICF linking rules (Cieza 2005)
bbs,b710,"Mobility of joint functions",ICF linking rules (Cieza 2005)
bbs,b755,"Involuntary movement reaction functions",ICF linking rules (Cieza 2005)
arat,d445,"Hand and arm use",ICF linking rules (Cieza 2005)
arat,b730,"Muscle power functions",ICF linking rules (Cieza 2005)
hrv,b410,"Heart functions",ICF linking rules (Cieza 2005)
eeg_band,b110,"Consciousness functions",ICF linking rules (Cieza 2005)
emg,b730,"Muscle power functions",ICF linking rules (Cieza 2005)
knee_rom,b710,"Mobility of joint functions",kinematic (OpenPose knee ROM)
cadence,b770,"Gait pattern functions",spatiotemporal gait
mdf_slope,b740,"Muscle endurance functions",EMG median-frequency fatigue slope
steps_per_day,d450,"Walking",free-living accelerometry (performance)
walking_bouts,d455,"Moving around",free-living accelerometry (performance)
mvpa_min,d570,"Looking after one's health",free-living accelerometry (performance)
sedentary_min,d570,"Looking after one's health",free-living accelerometry (performance)
physical_activity_volume,d570,"Looking after one's health",free-living accelerometry (performance)
